País inglés,País inglés c,País español,Continente,Región,Población Banco Mundial 2019
Afghanistan,Afghanistan,Afganistán,Asia,EMRO,38928341
Albania,Albania,Albania,Europa,EURO,2877797
Algeria,Algeria,Argelia,África,AFRO,43851043
American Samoa,American Samoa,Samoa Americana,Oceanía,WPRO,55197
Andorra,Andorra,Andorra,Europa,EURO,77265
Angola,Angola,Angola,África,AFRO,32866268
Anguilla,Anguilla,Anguila,América,AMRO,15002
Antigua and Barbuda,Antigua and Barbuda,Antigua y Barbuda,América,AMRO,97928
Argentina,Argentina,Argentina,América,AMRO,45195777
Armenia,Armenia,Armenia,Europa,EURO,2963234
Aruba,Aruba,Aruba,América,AMRO,106766
Australia,Australia,Australia,Oceanía,WPRO,25499881
Austria,Austria,Austria,Europa,EURO,9006400
Azerbaijan,Azerbaijan,Azerbaiyán,Asia,EURO,10139175
Bahamas,Bahamas,Bahamas,África,AMRO,393248
Bahrain,Bahrain,Bahréin,Asia,EMRO,1701583
Bangladesh,Bangladesh,Bangladesh,Asia,SEARO,164689383
Barbados,Barbados,Barbados,América,AMRO,287371
Belarus,Belarus,Bielorrusia,Europa,EURO,9449321
Belgium,Belgium,Bélgica,Europa,EURO,11589616
Belize,Belize,Belice,América,AMRO,397621
Benin,Benin,Benin,África,AFRO,12123198
Bermuda,Bermuda,islas Bermudas,América,AMRO,62273
Bhutan,Bhutan,Bután,Asia,SEARO,771612
Bolivia (Plurinational State of),Bolivia ,Bolivia (Estado Plurinacional de),América,AMRO,11673029
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius y Saba",América,AMRO,26221
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia y Herzegovina,Europa,EURO,3280815
Botswana,Botswana,Botswana,África,AFRO,2351625
Brazil,Brazil,Brasil,América,AMRO,212559409
British Virgin Islands,British Virgin Islands,Islas Vírgenes Británicas,América,AMRO,30237
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Asia,WPRO,437483
Bulgaria,Bulgaria,Bulgaria,Europa,EURO,6948445
Burkina Faso,Burkina Faso,Burkina Faso,África,AFRO,20903278
Burundi,Burundi,Burundi,África,AFRO,11890781
Cabo Verde,Cabo Verde,Cabo Verde,África,AFRO,555988
Cambodia,Cambodia,Camboya,Asia,WPRO,16718971
Cameroon,Cameroon,Camerún,África,AFRO,26545864
Canada,Canada,Canadá,América,AMRO,37742157
Cayman Islands,Cayman Islands,Islas Caimán,América,AMRO,65720
Central African Republic,Central African Republic,República Centroafricana,África,AFRO,4829764
Chad,Chad,Chad,África,AFRO,16425859
Chile,Chile,Chile,América,AMRO,19116209
China,China,China,Asia,WPRO,1439323774
Colombia,Colombia,Colombia,América,AMRO,50882884
Comoros,Comoros,Comoras,África,AFRO,869595
Congo,Congo,Congo,África,AFRO,5518092
Cook Islands,Cook Islands,Islas Cook,Oceanía,WPRO,17564
Costa Rica,Costa Rica,Costa Rica,América,AMRO,5094114
Côte d’Ivoire,Côte d’Ivoire,Côte d’Ivoire,África,AFRO,26378275
Croatia,Croatia,Croacia,Europa,EURO,4105268
Cuba,Cuba,Cuba,América,AMRO,11326616
Curaçao,Curaçao,Curazao,América,AMRO,164100
Cyprus,Cyprus,Chipre,Europa,EURO,1207361
Czechia,Czechia,Chequia,Europa,EURO,10708982
Democratic People's Republic of Korea,Democratic People's Republic of Korea,República Popular Democrática de Corea,Asia,SEARO,25778815
Democratic Republic of the Congo,Democratic Republic of the Congo,República Democrática del Congo,África,AFRO,89561404
Denmark,Denmark,Dinamarca,Europa,EURO,5792203
Djibouti,Djibouti,Djibouti,África,EMRO,988002
Dominica,Dominica,Dominica,América,AMRO,71991
Dominican Republic,Dominican Republic,República Dominicana,América,AMRO,10847904
Ecuador,Ecuador,Ecuador,América,AMRO,17643060
Egypt,Egypt,Egipto,África,EMRO,102334403
El Salvador,El Salvador,El Salvador,América,AMRO,6486201
Equatorial Guinea,Equatorial Guinea,Guinea Ecuatorial,África,AFRO,1402985
Eritrea,Eritrea,Eritrea,África,AFRO,3546427
Estonia,Estonia,Estonia,Europa,EURO,1326539
Eswatini,Eswatini,Eswatini,África,AFRO,1160164
Ethiopia,Ethiopia,Etiopía,África,AFRO,114963583
Falkland Islands (Malvinas),Falkland Islands (Malvinas),Islas Falkland (Malvinas),América,AMRO,3483
Faroe Islands,Faroe Islands,Islas Feroe,Europa,EURO,48865
Fiji,Fiji,Fiyi,Oceanía,WPRO,896444
Finland,Finland,Finlandia,Europa,EURO,5540718
France,France,Francia,Europa,EURO,65273512
French Guiana,French Guiana,Guayana Francesa,América,AMRO,298682
French Polynesia,French Polynesia,Polinesia francés,Oceanía,WPRO,280904
Gabon,Gabon,Gabón,África,AFRO,2225728
Gambia,Gambia,Gambia,África,AFRO,2416664
Georgia,Georgia,Georgia,Europa,EURO,3989175
Germany,Germany,Alemania,Europa,EURO,83783945
Ghana,Ghana,Ghana,África,AFRO,31072945
Gibraltar,Gibraltar,Gibraltar,Europa,EURO,33691
Greece,Greece,Grecia,Europa,EURO,10423056
Greenland,Greenland,Groenlandia,Europa,EURO,56772
Grenada,Grenada,Granada,América,AMRO,112519
Guadeloupe,Guadeloupe,Guadalupe,América,AMRO,400127
Guam,Guam,Guam,Oceanía,WPRO,168783
Guatemala,Guatemala,Guatemala,América,AMRO,17915567
Guernsey,Guernsey,Guernsey,Europa,EURO,0
Guinea,Guinea,Guinea,África,AFRO,13132792
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,África,AFRO,1967998
Guyana,Guyana,Guayana,América,AMRO,786559
Haiti,Haiti,Haití,América,AMRO,11402533
Holy See,Holy See,Santa Sede,Europa,EURO,809
Honduras,Honduras,Honduras,América,AMRO,9904608
Hungary,Hungary,Hungría,Europa,EURO,9660350
Iceland,Iceland,Islandia,Europa,EURO,341250
India,India,India,Asia,SEARO,1380004385
Indonesia,Indonesia,Indonesia,Asia,SEARO,273523621
Iran (Islamic Republic of),Iran,Irán (República Islámica de),Asia,EMRO,83992953
Iraq,Iraq,Irak,Asia,EMRO,40222503
Ireland,Ireland,Irlanda,Europa,EURO,4937796
Isle of Man,Isle of Man,Isla del hombre,Europa,EURO,85032
Israel,Israel,Israel,Asia,EURO,8655541
Italy,Italy,Italia,Europa,EURO,60461828
Jamaica,Jamaica,Jamaica,América,AMRO,2961161
Japan,Japan,Japón,Asia,WPRO,126476458
Jersey,Jersey,Jersey,Europa,EURO,0
Jordan,Jordan,Jordán,Asia,EMRO,10203140
Kazakhstan,Kazakhstan,Kazajstán,Asia,EURO,18776707
Kenya,Kenya,Kenia,África,AFRO,53771300
Kiribati,Kiribati,Kiribati,Oceanía,WPRO,119446
Kosovo[1],Kosovo,Kosovo [1],Europa,EURO,0
Kuwait,Kuwait,Kuwait,Asia,EMRO,4270563
Kyrgyzstan,Kyrgyzstan,Kirguistán,Asia,EURO,6524191
